OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF_PVC;OFF_PVL;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO;CONDICION
5596;SEETRONIC;SCWM3;Conector IP | XLR-3 |Macho Cable | Metalico | p/cable 3.5-6mm | c: Niquel ;Cables y Mangueras de Sonido;>10;4102.92;0.21;0;0.45;7198.568;0.1;0.1;https://todomusica.com.ar/31910-large_default/img.jpg;https://todomusica.com.ar/31910-large_default/img.jpg;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;SEE-BACKPACK;MOCHILA SEETRONIC;Cables y Mangueras de Sonido;>10;110810.7;0.21;0;0.45;194417.367;0.1;0.1;;;;;;;OFERTA
5596;SEETRONIC;SEE-DISPLAY;DISPLAY SEETRONIC;Cables y Mangueras de Sonido;>10;18468.45;0.21;0;0.45;32402.893;0.1;0.1;;;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;SEE-FIBER SAMPLE;FIBER SAMPLE;Cables y Mangueras de Sonido;<10;18525;0.21;0;0.45;32502.113;0.1;0.1;0;;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;SE8FBH;Conector Chasis | RJ45 | Metalico | Con traba | PCB montaje Horizontal | Con panel metalico | Instalación por detrás del panel;Cables y Mangueras de Sonido;>10;8180.78;0.21;0;0.45;14353.177;0.1;0.1;https://todomusica.com.ar/30115-large_default/img.jpg, https://todomusica.com.ar/30116-large_default/img.jpg;https://todomusica.com.ar/30115-large_default/img.jpg;https://todomusica.com.ar/30116-large_default/img.jpg;;;;OFERTA
5596;SEETRONIC;SE8FC-05-30-LOD-C6A;Conector de cable RJ45 hembra | Ethernet | Clasificación de protección IP65 | Diametro exterior del cable 7.5 a 9 mm | cumple con CAT6A | carcasa cromada | PoE++;Cables y Mangueras de Sonido;>10;18099.08;0.21;0;0.45;31754.841;0.1;0.1;https://todomusica.com.ar/30111-large_default/img.jpg, https://todomusica.com.ar/30112-large_default/img.jpg;https://todomusica.com.ar/30111-large_default/img.jpg;https://todomusica.com.ar/30112-large_default/img.jpg;;;;OFERTA
5596;SEETRONIC;SE8FD;Kit | para convertir chasis CAT 5 en IP54;Cables y Mangueras de Sonido;>10;3509.01;0.21;0;0.45;6156.553;0.1;0.1;https://todomusica.com.ar/14459-large_default/img.jpg;https://todomusica.com.ar/14459-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;SE8FDP;"Conector Chasis | RJ45 | metalico | CAT 5 |  Con traba | La parte trasera es un conector RJ45 pasante 
";Cables y Mangueras de Sonido;>10;12981.47;0.21;0;0.45;22775.987;0.1;0.1;https://todomusica.com.ar/14466-large_default/img.jpg;https://todomusica.com.ar/14466-large_default/img.jpg;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;SE8FDY-H-C6;"Conector Chasis | RJ45 | metalico | CAT 6 | Sin traba | Accesorio opcional IP65: CNAC-FDP  (Tapon de Goma) 
";Cables y Mangueras de Sonido;>10;12927.92;0.21;0;0.45;22682.031;0.1;0.1;https://todomusica.com.ar/14465-large_default/img.jpg;https://todomusica.com.ar/14465-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;SE8MC-02;Conector de cable RJ45 | con carcasa metalica cromada | cable de: 5-7mm |Ethernet | IP65 impermeable;Cables y Mangueras de Sonido;>10;3185.44;0.21;0;0.45;5588.857;0.1;0.1;https://todomusica.com.ar/31443-large_default/img.jpg;https://todomusica.com.ar/31443-large_default/img.jpg;;;;;INGRESANDO|OFERTA|MAS_VENDIDO
5596;SEETRONIC;SE8MC-05;Conector de cable RJ45 | c/Carcasa metálica cromada | Cable de 5-7mm | Ethernet | IP65 impermeable | c/Calce para la serie 05 Seetronic;Cables y Mangueras de Sonido;AGOTADO;6472.45;0.21;0;0.45;11355.911;0.1;0.1;https://todomusica.com.ar/31944-large_default/img.jpg;https://todomusica.com.ar/31944-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;SE8MC-1;Conector de cable RJ45 | con carcasa metalica cromada | cable de: 5-7mm |Ethernet | No impermeable;Cables y Mangueras de Sonido;>10;2787.26;0.21;0;0.45;4890.251;0.1;0.1;https://todomusica.com.ar/30404-large_default/img.jpg;https://todomusica.com.ar/30404-large_default/img.jpg;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;SE8MC-1-B;Conector de cable RJ45 | con carcasa metalica Negra | cable de: 5-7mm |Ethernet | No impermeable;Cables y Mangueras de Sonido;>10;2787.26;0.21;0;0.45;4890.251;0.1;0.1;https://todomusica.com.ar/30804-large_default/img.jpg;https://todomusica.com.ar/30804-large_default/img.jpg;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;SJSDF6H;"Conector | Combo | para chasis | redondo | (xlr+plug 1/4"" St) | Montaje Horizontal | PCB | Instal trasera |";Cables y Mangueras de Sonido;>10;2815.7;0.21;0;0.45;4940.14;0.1;0.1;https://todomusica.com.ar/30827-large_default/img.jpg;https://todomusica.com.ar/30827-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;SJSDF6V;"Conector | Combo | para chasis | redondo | (xlr+plug 1/4"" St) | Montaje Vertical | PCB | Instal trasera";Cables y Mangueras de Sonido;>10;2758.82;0.21;0;0.45;4840.351;0.1;0.1;https://todomusica.com.ar/30825-large_default/img.jpg;https://todomusica.com.ar/30825-large_default/img.jpg;;;;;OFERTA
